Date,Portfolio name,Currency,Campaign Name,Bidding strategy,Placement,Impressions,Clicks,Cost Per Click (CPC),Spend,7 Day Total Sales ,Total Advertising Cost of Sales (ACoS) ,Total Return on Advertising Spend (RoAS),7 Day Total Orders (#),7 Day Total Units (#)
"Oct 06, 2019",Desserts,USD,Desserts_Auto_Royal_Gelatin,Dynamic bids - up and down,Product pages on Amazon,63,1,$ 0.67,$ 0.67,$ 0.00,,0.00,0,0
"Oct 07, 2019",Desserts,USD,Desserts_Auto_Royal_Gelatin,Dynamic bids - up and down,Product pages on Amazon,56,0,,$ 0.00,$ 0.00,,,0,0
"Oct 08, 2019",Desserts,USD,Desserts_Auto_Royal_Gelatin,Dynamic bids - up and down,Product pages on Amazon,43,0,,$ 0.00,$ 0.00,,,0,0
"Oct 09, 2019",Desserts,USD,Desserts_Auto_Royal_Gelatin,Dynamic bids - up and down,Product pages on Amazon,31,0,,$ 0.00,$ 0.00,,,0,0
"Oct 10, 2019",Desserts,USD,Desserts_Auto_Royal_Gelatin,Dynamic bids - up and down,Product pages on Amazon,246,1,$ 0.77,$ 0.77,$ 0.00,,0.00,0,0
"Oct 11, 2019",Desserts,USD,Desserts_Auto_Royal_Gelatin,Dynamic bids - up and down,Product pages on Amazon,276,1,$ 0.42,$ 0.42,$ 0.00,,0.00,0,0
"Oct 12, 2019",Desserts,USD,Desserts_Auto_Royal_Gelatin,Dynamic bids - up and down,Product pages on Amazon,306,0,,$ 0.00,$ 0.00,,,0,0
"Oct 06, 2019",Ingredients,USD,ingredients auto,Dynamic bids - up and down,Product pages on Amazon,1135,8,$ 0.08,$ 0.61,$ 8.49,7.1849%,13.92,1,1
"Oct 07, 2019",Ingredients,USD,ingredients auto,Dynamic bids - up and down,Product pages on Amazon,1267,2,$ 0.04,$ 0.07,$ 0.00,,0.00,0,0
"Oct 08, 2019",Ingredients,USD,ingredients auto,Dynamic bids - up and down,Product pages on Amazon,1336,11,$ 0.07,$ 0.80,$ 37.64,2.1254%,47.05,6,7
